time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-16T18:32:44.234Z,51.2762,-177.7077,45,2.3,ml,,,,0.53,ak,ak018ahdfvt3,2023-08-16T15:07:57.232Z,"99 km SW of Adak, Alaska",earthquake,,4.3,,,reviewed,ak,ak
2018-08-16T16:57:24.690Z,51.0682,-178.0227,35,2.8,ml,,217,0.758,0.53,us,us1000gh4a,2023-08-16T15:06:52.622Z,"131 km SW of Adak, Alaska",earthquake,4.3,2,,,reviewed,us,ak
2018-08-16T16:52:09.660Z,50.3113,179.7986,10,3.1,ml,,279,1.113,1.28,us,us1000gh49,2023-08-16T15:06:43.682Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.4,2,,,reviewed,us,ak
2018-08-16T14:26:27.490Z,51.2903,-177.7253,35,2.8,ml,,221,0.561,0.46,us,us1000gh43,2023-08-16T15:04:26.380Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,5.3,2,,,reviewed,us,ak
2018-08-16T14:12:13.115Z,51.1791,-179.8509,13.2,2.1,ml,,,,0.45,ak,ak018ahaxsnz,2023-08-16T15:04:19.249Z,"236 km WSW of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-08-16T13:28:00.170Z,51.2986,-177.7716,39.28,4.5,mb,,187,0.561,0.94,us,us1000gage,2023-08-16T15:03:56.811Z,"101 km SW of Adak, Alaska",earthquake,6.2,7,0.049,121,reviewed,us,us
2018-08-16T13:04:20.430Z,51.3434,-177.8196,44.7,2,ml,,,,0.27,ak,ak018ahaanwb,2023-08-16T15:03:52.786Z,"101 km SW of Adak, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2018-08-16T12:39:48.547Z,51.2298,-177.9245,32.6,2.4,ml,,,,0.29,ak,ak018ah9wsiu,2023-08-16T15:03:30.788Z,"114 km SW of Adak, Alaska",earthquake,,9.3,,,reviewed,ak,ak
2018-08-16T12:04:05.202Z,51.3281,-174.9367,49.3,2.2,ml,,,,0.83,ak,ak018ah9p748,2023-08-16T15:03:03.875Z,"109 km SSW of Atka, Alaska",earthquake,,5.3,,,reviewed,ak,ak
2018-08-16T11:51:23.610Z,51.1661,-177.8947,35,2.5,ml,,215,0.674,0.45,us,us1000gh3w,2023-08-16T15:02:53.126Z,"117 km SW of Adak, Alaska",earthquake,3.2,2,,,reviewed,us,ak
2018-08-16T11:12:11.610Z,51.426,-178.1009,49.76,3.9,mb,,198,0.41,0.79,us,us1000gaed,2023-08-16T15:02:26.251Z,"113 km WSW of Adak, Alaska",earthquake,6.9,10.3,0.104,24,reviewed,us,us
2018-08-16T09:35:41.383Z,51.1865,-177.8737,38.7,2.2,ml,,,,0.34,ak,ak018ah83mai,2023-08-16T15:01:26.263Z,"115 km SW of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-08-16T07:33:47.210Z,51.1805,-177.9251,33.26,2.6,ml,,214,0.658,0.52,us,us1000gh3q,2023-08-16T14:59:53.384Z,"118 km SW of Adak, Alaska",earthquake,3.4,11.4,,,reviewed,us,ak
2018-08-16T07:26:34.678Z,51.1475,-177.9466,37.2,2,ml,,,,0.59,ak,ak018ah6ut4b,2023-08-16T14:59:42.511Z,"121 km SW of Adak, Alaska",earthquake,,7.3,,,reviewed,ak,ak
2018-08-16T06:49:55.289Z,51.224,-177.9671,25.6,2,ml,,,,0.32,ak,ak018ah6ecko,2023-08-16T14:58:49.008Z,"117 km SW of Adak, Alaska",earthquake,,3,,,reviewed,ak,ak
2018-08-16T06:23:06.319Z,51.1411,-177.8581,25.5,2.1,ml,,,,0.64,ak,ak018ah68o6f,2023-08-16T14:58:21.616Z,"117 km SW of Adak, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2018-08-16T05:57:21.828Z,51.2265,-177.7527,27,2.4,ml,,,,0.34,ak,ak018ah5uk46,2023-08-16T14:58:12.896Z,"105 km SW of Adak, Alaska",earthquake,,14.5,,,reviewed,ak,ak
2018-08-16T05:46:11.550Z,51.2547,-177.9866,43.02,3.5,ml,,206,0.57,0.36,us,us1000gh3h,2023-08-16T14:58:05.279Z,"116 km SW of Adak, Alaska",earthquake,8.2,28.2,,,reviewed,us,ak
2018-08-16T04:43:27.730Z,51.1911,-177.8639,43.7,3,ml,,,,0.32,us,us1000gh3g,2023-08-16T14:57:21.017Z,"114 km SW of Adak, Alaska",earthquake,4.7,10,,,reviewed,ak,ak
2018-08-16T04:08:51.299Z,51.4466,-176.2805,21.4,2.1,ml,,,,0.4,ak,ak018ah4yop5,2023-08-16T14:57:00.402Z,"53 km SSE of Adak, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2018-08-16T03:45:42.420Z,51.2137,-177.7197,29.17,2.8,ml,,226,0.625,0.38,us,us1000gh3e,2023-08-16T14:56:43.763Z,"105 km SW of Adak, Alaska",earthquake,6.1,10.4,,,reviewed,us,ak
2018-08-16T03:33:25.719Z,51.2419,-177.9112,44.9,2,ml,,,,0.32,ak,ak018ah4ik0r,2023-08-16T14:56:36.935Z,"113 km SW of Adak, Alaska",earthquake,,3.9,,,reviewed,ak,ak
2018-08-16T03:21:14.060Z,51.1705,-177.9149,30.1,3,ml,,,,0.43,us,us1000gh3c,2023-08-16T14:56:28.982Z,"118 km SW of Adak, Alaska",earthquake,4,7.8,,,reviewed,ak,ak
2018-08-16T02:51:12.605Z,51.0564,-179.2484,8.1,2.1,ml,,,,0.67,ak,ak018ah40yak,2023-08-16T14:56:01.909Z,"203 km WSW of Adak, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2018-08-16T02:37:48.792Z,51.228,-177.8745,38.4,2.1,ml,,,,0.43,ak,ak018ah3y127,2023-08-16T14:55:53.868Z,"112 km SW of Adak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-08-16T02:26:55.184Z,51.2271,-177.9781,27.6,2.1,ml,,,,0.46,ak,ak018ah3vooe,2023-08-16T14:55:39.760Z,"117 km SW of Adak, Alaska",earthquake,,16,,,reviewed,ak,ak
2018-08-16T01:59:26.120Z,51.2615,-177.6957,39.2,2.6,ml,,,,0.63,us,us1000gh35,2023-08-16T14:55:06.524Z,"100 km SW of Adak, Alaska",earthquake,5.3,10.1,,,reviewed,ak,ak
2018-08-16T01:50:33.760Z,51.8063333,-178.7048333,12.2,2.14,ml,4,299,0.04727,0.26,av,av61761471,2019-03-07T02:21:58.050Z,"142 km W of Adak, Alaska",earthquake,2.66,1.83,0.527,5,reviewed,av,av
2018-08-16T01:42:20.030Z,52.4643,-174.5841,145.2,2.6,ml,,,,0.6,us,us1000gh34,2023-08-16T14:54:55.658Z,"39 km NW of Atka, Alaska",earthquake,22.1,8.9,,,reviewed,ak,ak
2018-08-16T01:41:08.009Z,51.3045,-177.7488,48.7,2.1,ml,,,,0.34,ak,ak018ah3dd68,2023-08-16T14:54:53.983Z,"99 km SW of Adak, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2018-08-16T01:14:37.836Z,51.1519,-177.7517,10.4,2.2,ml,,,,0.49,ak,ak018ah37n53,2023-08-16T14:54:16.936Z,"111 km SW of Adak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-08-16T01:00:49.690Z,51.2975,-177.8776,48.7,2.5,ml,,,,0.71,us,us1000gh31,2023-08-16T14:54:04.399Z,"107 km SW of Adak, Alaska",earthquake,5.4,10,,,reviewed,ak,ak
2018-08-16T00:58:10.583Z,51.2525,-177.9424,34.7,2.2,ml,,,,0.38,ak,ak018ah2vkxu,2023-08-16T14:54:00.698Z,"114 km SW of Adak, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2018-08-16T00:20:57.701Z,51.2677,-177.9218,49.2,2.1,ml,,,,0.23,ak,ak018ah2njd6,2023-08-16T14:53:32.104Z,"111 km SW of Adak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
